station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WCBS	" ""CBS 2"""	NY	 New York City	 ViacomCBS	https://newyork.cbslocal.com/	 Digital Full-Power - 548 kW	 2.1 WCBS/CBS, 2.2 Start TV, 2.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WNBC	" ""4 New York"""	NY	 New York City	 NBC Universal	http://www.nbcnewyork.com/	 Digital Full-Power - 200.2 kW	 4.1 WNBC/NBC, 4.2 NBC Cozi TV	stationindex	2023-05-17 12:50:01.701573
WNYW	" ""FOX 5"""	NY	 New York City	 Fox Television Stations	http://www.fox5ny.com/	 Digital Full-Power - 246 kW	 5.1 Fox, 5.2 Movies!, 9.2 WWOR/My Network TV	stationindex	2023-05-17 12:50:01.701573
WNYZ-LP		NY	 New York	 Island Broadcasting Company		 Low-Power - 3 kW		stationindex	2023-05-17 12:50:01.701573
WABC	" ""ABC 7"""	NY	 New York City	 ABC	https://abc7ny.com/	 Digital Full-Power - 123 kW	 7.1 WABC/ABC, 7.2 Localish, 7.3 Laff TV	stationindex	2023-05-17 12:50:01.701573
WWOR	" ""My 9"""	NJ	 Secaucus	 Fox Television Stations	http://www.my9nj.com/	 Digital Full-Power - 170 kW	 9.1 WWOR/My Network TV, 9.3 Buzzr, 9.4 MundoMax	stationindex	2023-05-17 12:50:01.701573
WPIX	" ""CW 11"""	NY	 New York City	 E. W. Scripps Company	https://pix11.com/	 Digital Full-Power - 7.5 kW	 11.1 WPIX/CW, 11.2 Antenna TV, 11.3 This TV	stationindex	2023-05-17 12:50:01.701573
WNET	" ""Thirteen"""	NJ	 Newark	 WNET.org	http://www.wnet.org/	 Digital Educational Full-Power - 9.3 kW		stationindex	2023-05-17 12:50:01.701573
WEBR-LD		NY	 Manhattan	 K Licensee		 Digital Low-Power - 0.315 kW	 17.1 WEBR/GCN (Global Christian Network), 17.2 MBCD, 17.3 Radio Korea	stationindex	2023-05-17 12:50:01.701573
WLIW		NY	 Garden City	 WNET.org	http://www.wliw.org/	 Digital Educational Full-Power - 89.9 kW		stationindex	2023-05-17 12:50:01.701573
WNYE		NY	 New York City	 NYC Department of Information Technology & Telecommunications	http://www.nyc.gov/media	 Digital Educational Full-Power - 151 kW		stationindex	2023-05-17 12:50:01.701573
WPXN		NY	 New York City	 Ion Media Networks		 Digital Full-Power - 100 kW	 31.1 Ion, 31.2 Qubo, 31.3 Ion Life, 31.4 Ion Shop, 31.5 QVC, 31.6 HSN	stationindex	2023-05-17 12:50:01.701573
WJLP		NJ	 Middletown Township	 PMCM TV	https://www.newjerseynewsnetwork.com	 Digital Full-Power - 6.96 kW	 33.1 MeTV, 33.2 Laff, 33.3 Grit, 33.4 Court TV Mystery, 33.5 Retro TV, 33.6 Court TV, 33.8 NewsNet, 33.10 WJLP-WX	stationindex	2023-05-17 12:50:01.701573
WPXO-LD		NJ	 East Orange	 America CV Station Group		 Digital Low-Power - 3.5 kW	 34.1 WPXO	stationindex	2023-05-17 12:50:01.701573
WNYN-LD		NY	 New York	 Island Broadcasting Company		 Digital Low-Power - 3 kW	 39.1 Azteca America, 39.2 Infomercials, 39.3 Infomercials, 39.4 Infomercials, 39.5 Infomercials	stationindex	2023-05-17 12:50:01.701573
WXTV		NJ	 Paterson	 Univision Communications		 Digital Full-Power - 300 kW	 40.1 Univision, 40.2 Unimas, 40.3 Bounce, 40.4 Grit TV	stationindex	2023-05-17 12:50:01.701573
WSAH		CT	 Bridgeport	 Multicultural Television		 Digital Full-Power - 780 kW		stationindex	2023-05-17 12:50:01.701573
WKOB-LD		NY	 New York	 Nave Communications		 Digital Low-Power - 0.3 kW	 42.1 Daystar, 42.2 Daystar, 42.3 Retro TV, 42.4 Hot TV, 42.5 Infomercials	stationindex	2023-05-17 12:50:01.701573
WNJU	" ""Telemundo 47"""	NJ	 Newark	 NBC Universal	http://www.telemundo47.com/	 Digital Full-Power - 650 kW		stationindex	2023-05-17 12:50:01.701573
WRNN	" ""RNN"""	NY	 Kingston	 WRNN License Company	http://www.rnntv.com/	 Digital Full-Power - 950 kW		stationindex	2023-05-17 12:50:01.701573
WNJN	" ""NJTV"""	NJ	 Montclair	 New Jersey Public Broadcasting Authority	http://www.njtvonline.org/	 Digital Educational Full-Power - 200 kW	 50.1 NJTV	stationindex	2023-05-17 12:50:01.701573
WBQM-LD	" ""BuenaVision TV"""	NY	 New York	 Buenavision TV Network NY		 Digital Low-Power - 1.7 kW	 51.1 BuenaVision TV	stationindex	2023-05-17 12:50:01.701573
WTBY		NY	 Poughkeepsie	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 800 kW	 54.1 WTBY/TBN, 54.2 Church Channel, 54.3 JCTV, 54.4 Enlace USA, 54.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
WLNY		NY	 Riverhead	 ViacomCBS	https://newyork.cbslocal.com/station/wlny/	 Digital Full-Power - 1000 kW	 55.1 Independent, 55.2 Comet, 55.3 Stadium, 55.4 This TV, 55.5 Circle	stationindex	2023-05-17 12:50:01.701573
WNJB	" ""NJTV"""	NJ	 New Brunswick	 New Jersey Public Broadcasting Authority	http://www.njtvonline.org/	 Digital Educational Full-Power - 40.82 kW	 58.1 NJ TV	stationindex	2023-05-17 12:50:01.701573
WMBC		NJ	 Newton	 Mountain Broadcasting Corporation	http://www.wmbctv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WASA-LD		NY	 Port Jervis	 Liberman Broadcasting		 Digital Low-Power - 15 kW	 64.1 WASA/Estrella TV, 64.2 ICN - Information Culture News (Chinese), 64.3 IAVC	stationindex	2023-05-17 12:50:01.701573
WNYJ		NJ	 West Milford	 Family Stations		 Digital Educational Full-Power - 200 kW		stationindex	2023-05-17 12:50:01.701573
WFTY	" ""Unimas 67"""	NY	 Smithtown	 Univision Communications		 Digital Full-Power - 150 kW	 67.1 Unimas	stationindex	2023-05-17 12:50:01.701573
WFUT	" ""Unimas 68"""	NJ	 Newark	 Univision Communications		 Digital Full-Power - 200 kW	 68.1 Unimas	stationindex	2023-05-17 12:50:01.701573
KCBS	" ""CBS 2"""	CA	 Los Angeles	 ViacomCBS	https://losangeles.cbslocal.com/	 Digital Full-Power - 485 kW	 2.1 KCBS/CBS, 2.2 Start TV, 2.3 Dabl	stationindex	2023-05-17 12:50:01.701573
KNBC	" ""NBC 4"""	CA	 Los Angeles	 NBC Universal	http://www.nbclosangeles.com/	 Digital Full-Power - 380 kW	 4.1 KNBC/NBC, 4.2 Cozi	stationindex	2023-05-17 12:50:01.701573
KTLA	" ""KTLA"""	CA	 Los Angeles	 Nexstar Media Group	https://ktla.com/	 Digital Full-Power - 1000 kW	 5.1 KTLA/CW, 5.2 Antenna TV, 5.3 This TV	stationindex	2023-05-17 12:50:01.701573
KABC	" ""ABC 7"""	CA	 Los Angeles	 ABC	http://www.abc7.com/	 Digital Full-Power - 182 kW	 7.1 KABC/ABC, 7.2 Localish, 7.3 Laff TV	stationindex	2023-05-17 12:50:01.701573
KFLA-LD	" ""KFLA"""	CA	 Los Angeles	 Roy William Mayhugh		 Digital Low-Power - 0.3 kW	 8.1 KFLA/RTV, 8.2 Corner Store TV, 8.3 Tuff TV, 8.8 Vmas TV	stationindex	2023-05-17 12:50:01.701573
KCAL		CA	 Los Angeles	 ViacomCBS	https://losangeles.cbslocal.com/	 Digital Full-Power - 25 kW	 9.1 KCAL/Independent, 9.2 Stadium, 9.3 Circle, 9.4 HSN, 9.5 QVC 	stationindex	2023-05-17 12:50:01.701573
KIIO-LD		CA	 Los Angeles	 Jeff Chang		 Digital Full-Power - 0.16 kW	 10.1 PBJ, 10.2 Infomercials, 10.3 Blank, 10.4 Movies	stationindex	2023-05-17 12:50:01.701573
KTTV	" ""FOX 11"""	CA	 Los Angeles	 Fox Television Stations	http://www.foxla.com/	 Digital Full-Power - 15 kW	 11.1 Fox/KTTV, 11.2 Decades	stationindex	2023-05-17 12:50:01.701573
KCOP	" ""My 13"""	CA	 Los Angeles	 Fox Television Stations	http://www.foxla.com/my13	 Digital Full-Power - 120 kW	 13.1 KCOP/My Network TV, 13.2 Bounce TV, 13.3 Movies!	stationindex	2023-05-17 12:50:01.701573
KSCI	" ""LA 18"""	CA	 Long Beach	 NRJ TV LLC		 Digital Full-Power - 110.9 kW	" 18.1 KSCI, 
18.2 Seoul Broadcasting System (Korean), 
18.3 MBCD (Korean), 
18.4 Christian Global Network TV (Korean religious), 
18.5 MBC Home Shopping (Korean), 
18.6 YTN (Korean)"	stationindex	2023-05-17 12:50:01.701573
KWHY	" ""Canal 22"""	CA	 Los Angeles	 Meruelo Broadcasting	https://www.kwhy22.com/	 Digital Full-Power - 486 kW	 22.1 KWHY/Canal 22	stationindex	2023-05-17 12:50:01.701573
KVMD		CA	 Twentynine Palms	 Ronald Ulloa	http://www.kvmdtv.com/	 Digital Full-Power - 150 kW	 31.1 KVMD, 31.2 Domino MG, 31.3 Italian BRD NET, 31.4 VNBC TV, 31.5 TBA, 31.6 TBA, 31.7 TBW TV, 31.8 WCE TV, 31.9 TBA	stationindex	2023-05-17 12:50:01.701573
KVCR		CA	 San Bernardino	 San Bernardino Community College	https://www.empirenetwork.org/	 Digital Educational Full-Power - 475 kW		stationindex	2023-05-17 12:50:01.701573
KHTV-CD		CA	 Inland Empire	 Venture Technologies Group		 Digital Class-A - 8.1 kW		stationindex	2023-05-17 12:50:01.701573
KCET		CA	 Los Angeles	 Community Television of Southern California	http://www.kcet.org/	 Digital Educational Full-Power - 155 kW	 28.1 KCET, 28.2 KCET Kids and Family, 28.3 V-me, 28.4 MHz Worldview	stationindex	2023-05-17 12:50:01.701573
KPXN		CA	 San Bernardino	 Ion Media Networks	http://www.iontelevision.com/	 Digital Full-Power - 1000 kW	 30.1 Ion, 30.2 Qubo, 30.3 Ion Life, 30.4 Ion Shop, 30.5 QVC, 30.6 HSN	stationindex	2023-05-17 12:50:01.701573
KMEX		CA	 Los Angeles	 Univision Communications	http://www.kmex.com/	 Digital Full-Power - 392 kW		stationindex	2023-05-17 12:50:01.701573
KTAV-LD	" ""AlmaVision"""	CA	 Altadena	 Almavision		 Digital Low-Power - 15 kW		stationindex	2023-05-17 12:50:01.701573
KTBN		CA	 Santa Ana	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 1000 kW	 40.1 KTBN/TBN, 40.2 Church Channel, 40.3 JCTV, 40.4 Enlace USA, 40.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
KXLA		CA	 Rancho Palos Verdes	 Rancho Palos Verdes Broadcasters	http://www.kxlatv.com/	 Digital Full-Power - 1000 kW	 44.1 KXLA, 44.2 KVMD, 44.3 Sk-DTV, 44.4 Little Saigon TV, 44.5 TV Korea, 44.6 IAVC, 44.7 Unknown, 44.8 Unknown	stationindex	2023-05-17 12:50:01.701573
KSKJ-CD		CA	 Van Nuys	 Capital Broadcasting Corporation		 Digital Class-A - 6 kW	 45.1 Al Jazeera English, 45.2 My Family TV, 45.3 Infomercials, 45.4 Infomercials	stationindex	2023-05-17 12:50:01.701573
KFTR	" ""Unimas 46"""	CA	 Ontario	 Univision Communications		 Digital Full-Power - 400 kW	 46.1 Unimas, 46.2 GetTV, 46.3 Escape, 46.4 Grit TV	stationindex	2023-05-17 12:50:01.701573
KOCE	" ""PBS SoCal"""	CA	 Huntington Beach	 KOCE-TV Foundation	http://www.pbssocal.org/	 Digital Educational Full-Power - 1000 kW	 50.1 KOCE HD/PBS, 50.2 OC Channel, 50.3 Daystar, 50.4 KOCE SD	stationindex	2023-05-17 12:50:01.701573
KVEA	" ""Telemundo 52"""	CA	 Corona	 NBC Universal	https://www.telemundo52.com/	 Digital Full-Power - 54 kW		stationindex	2023-05-17 12:50:01.701573
KAZA	" ""MeTV Hollywood"""	CA	 Avalon	 Weigel Broadcasting		 Digital Full-Power - 7.24 kW	 54.1 KAZA/MeTV	stationindex	2023-05-17 12:50:01.701573
KDOC		CA	 Anaheim	 Ellis Communications	http://www.kdoc.tv/	 Digital Full-Power - 1000 kW	 56.1 KDOC/Independent, 56.2 ESNE TV, 56.3 MeTV, 56.4 Comet, 56.5 KVLA Television, 56.6 S-Channel, 56.7 VieTV, 56.8 Charge!	stationindex	2023-05-17 12:50:01.701573
KJLA	" ""Azteca 57 Los Angeles"""	CA	 Ventura	 Costa de Oro Media, LLC		 Digital Full-Power - 1000 kW	" 57.1 KJLA/Azteca America, 
57.2 VietFace TV (Vietnamese), 
57.3 VNA TV (Vietnamese), 
57.4 VietSky Television (Vietnamese), 
57.5 Saigon TV (Vietnamese), 
57.6 VBS TV (Vietnamese), 
57.7 Diamond King TV (Vietnamese), 
57.8 IBC TV (Vietnamese), 
57.9 Chung T'ien TV (Mandarin), 
57.10 VietPho, 
57.11 VSTAR, 
57.12 Viet Global Mall TV (Vietnamese)"	stationindex	2023-05-17 12:50:01.701573
KLCS		CA	 Los Angeles	 Los Angeles Unified School District	http://www.klcs.org/	 Digital Educational Full-Power - 162 kW	 58.1 KLCS/PBS, 58.2 PBS Kids, 58.3 Create, 58.4 Telecourses	stationindex	2023-05-17 12:50:01.701573
KRCA	" ""Estrella TV KRCA 62"""	CA	 Riverside	 Liberman Broadcasting		 Digital Full-Power - 1000 kW	 62.1 KRCA/Estrella TV, 62.2 HTTV USA, 62.3 Inmigrante TV	stationindex	2023-05-17 12:50:01.701573
KBEH		CA	 Oxnard	 Meruelo Broadcasting		 Digital Full-Power - 1000 kW	 63.1/Independent/Infomercials, 63.2 Retro Television Network, 63.3 JRES TV (Spanish Religious), 63.5 EEE Network (Spanish Religious)	stationindex	2023-05-17 12:50:01.701573
KILM		CA	 Barstow	 Multicultural Television Broadcasting		 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WBBM	" ""CBS 2"""	IL	 Chicago	 ViacomCBS	https://chicago.cbslocal.com/	 Digital Full-Power - 8 kW	 2.1 WBBM/CBS, 2.2 Start TV, 2.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WMAQ	" ""NBC 5"""	IL	 Chicago	 NBC Universal	http://www.nbcchicago.com/	 Digital Full-Power - 350 kW	 5.1 WMAQ/NBC, 5.2 Cozi TV	stationindex	2023-05-17 12:50:01.701573
WRME-LP	" ""87.7 Me-TV FM"""	IL	 Rochelle	 Venture Technologies Group		 Low-Power - 3 kW		stationindex	2023-05-17 12:50:01.701573
WLS	" ""ABC 7"""	IL	 Chicago	 ABC	https://abc7chicago.com/	 Digital Full-Power - 1000 kW	 7.1 WLS/ABC, 7.2 Localish	stationindex	2023-05-17 12:50:01.701573
WGN		IL	 Chicago	 Nexstar Media Group	https://wgntv.com/	 Digital Full-Power - 645 kW	 9.1 WGN, 9.2 Antenna TV, 9.3 ThisTV	stationindex	2023-05-17 12:50:01.701573
WTTW		IL	 Chicago	 Window to the World Communications	http://www.wttw.com/	 Digital Educational Full-Power - 300 kW		stationindex	2023-05-17 12:50:01.701573
WOCK-CD		IL	 Chicago	 NRJ TV		 Digital Class-A - 0.3 kW	 13.1 WOCK/MundoMax	stationindex	2023-05-17 12:50:01.701573
WYCC		IL	 Chicago	 City Colleges of Chicago	http://www.wycc.org/	 Digital Educational Full-Power - 98.9 kW		stationindex	2023-05-17 12:50:01.701573
WPVN-LD	" ""Polvision"""	IL	 Aurora	 Polnet Communications		 Digital Low-Power - 10 kW	 20.1 Polvision	stationindex	2023-05-17 12:50:01.701573
WWME-CD	" ""Me TV"""	IL	 Chicago	 Weigel Broadcasting	http://metvnetwork.com/	 Digital Class-A - 15 kW		stationindex	2023-05-17 12:50:01.701573
WCIU		IL	 Chicago	 Weigel Broadcasting	http://www.wciu.com/	 Digital Full-Power - 160 kW	 26.1 WCIU, 26.2 Me TV/WWME-CA, 26.3 Me Too/WMEU-CA, 26.6 FBT Ethnic	stationindex	2023-05-17 12:50:01.701573
WFLD	" ""Fox Chicago"""	IL	 Chicago	 Fox Television Stations	http://www.fox32chicago.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WCHU-LD		IL	 Rochelle	 Venture Technologies Group		 Digital Low-Power - 15 kW		stationindex	2023-05-17 12:50:01.701573
WWTO		IL	 LaSalle	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 16 kW	 35.1 WWTO/TBN, 35.2 Church Channel, 35.3 JCTV, 35.4 Enlace USA, 35.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
WCPX		IL	 Chicago	 Ion Media Networks		 Digital Full-Power - 200 kW	 38.1 Ion, 38.2 Qubo, 38.3 Ion Life, 38.4 Ion Shop, 38.5 QVC, 38.6 HSN	stationindex	2023-05-17 12:50:01.701573
WESV-LD	" ""Estrella TV Chicago"""	IL	 Chicago	 Liberman Broadcasting		 Digital Low-Power - 6 kW	 40.1 WESV/Estrella TV	stationindex	2023-05-17 12:50:01.701573
WSNS	" ""Telemundo Chicago"""	IL	 Chicago	 NBC Universal	http://www.telemundochicago.com/	 Digital Full-Power - 467 kW		stationindex	2023-05-17 12:50:01.701573
WMEU-CD	" ""The U Too"""	IL	 Chicago	 Weigel Broadcasting		 Digital Class-A - 15 kW	 48.1 U Too, 48.2 Touchvision	stationindex	2023-05-17 12:50:01.701573
WPWR	" ""CW 50"""	IN	 Gary	 Fox Television Stations	http://www.fox32chicago.com/cw50chicago	 Digital Full-Power - 1000 kW	 50.1 CW/MyNetworkTV, 50.2 Movies!, 50.3 Light TV, 50.4 Buzzr	stationindex	2023-05-17 12:50:01.701573
WYIN		IN	 Gary	 Northwest Indiana Public Broadcasting		 Digital Educational Full-Power - 300 kW		stationindex	2023-05-17 12:50:01.701573
WXFT	" ""Unimas 60"""	IL	 Aurora	 Univision Communications		 Digital Full-Power - 172 kW	 60.1 Unimas	stationindex	2023-05-17 12:50:01.701573
WJYS		IN	 Hammond	 Jovon Broadcasting	http://www.wjystv62.net/	 Digital Full-Power - 50 kW		stationindex	2023-05-17 12:50:01.701573
WGBO		IL	 Joliet	 Univision Communications		 Digital Full-Power - 600 kW	 66.1 Univision, 66.2 GetTV, 66.3 Grit TV	stationindex	2023-05-17 12:50:01.701573
WDPN	" ""Me TV 2"""	DE	 Wilmington	 Maranatha Broadcasting Company	https://metv2.com/	 Digital Full-Power - 34 kW	 2.1: MeTV, 2.2: Grit, 2.3: Court TV Mystery, 2.4: Heroes & Icons, 2.5: Retro TV, 2.6: Decades, 2.7: This TV	stationindex	2023-05-17 12:50:01.701573
KYW	" ""CBS 3"""	PA	 Philadelphia	 ViacomCBS	https://philadelphia.cbslocal.com/	 Digital Full-Power - 790 kW	 3.1 KYW/CBS, 3.2 Start TV, 3.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WACP		NJ	 Atlantic City	 Western Pacific Broadcast		 Digital Full-Power - 10 kW	 4.1 WACP	stationindex	2023-05-17 12:50:01.701573
WPVI	" ""6 ABC"""	PA	 Philadelphia	 ABC	https://6abc.com/	 Digital Full-Power - 7.56 kW	 6.1 WPVI/ABC, 6.2 Localish, 6.3 Laff TV	stationindex	2023-05-17 12:50:01.701573
WCAU	" ""NBC 10"""	PA	 Philadelphia	 NBC Universal	http://www.nbcphiladelphia.com/	 Digital Full-Power - 700 kW	 10.1 WCAU/NBC, 10.2 Cozi TV	stationindex	2023-05-17 12:50:01.701573
WHYY		DE	 Wilmington	 WHYY, Inc.	http://www.whyy.org/	 Digital Educational Full-Power - 20 kW		stationindex	2023-05-17 12:50:01.701573
WPHL	" ""PHL 17"""	PA	 Philadelphia	 Nexstar Media Group	https://phl17.com/	 Digital Full-Power - 645 kW	 17.1 WPHL/My Network TV, 17.2 This TV	stationindex	2023-05-17 12:50:01.701573
WNJS	" ""NJTV"""	NJ	 Camden	 New Jersey Public Broadcasting Authority	http://www.njtvonline.org/	 Digital Educational Full-Power - 197 kW		stationindex	2023-05-17 12:50:01.701573
WTXF	" ""FOX 29"""	PA	 Philadelphia	 Fox Television Stations	http://www.fox29.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WPPT		PA	 Philadelphia	 Lehigh Valley Public Telecommunications Corporation		 Digital Educational Full-Power - 500 kW	 35.1 MHz Worldview, 35.2 World	stationindex	2023-05-17 12:50:01.701573
W36DO-D	" ""Cornerstone TV"""	PA	 Darby	 Mako Communications		 Digital Low-Power - 3.8 kW		stationindex	2023-05-17 12:50:01.701573
WPHA-CD		PA	 Philadelphia	 DTV, LLC		 Digital Class-A - 3 kW	 38.1 Infomercials, 38.2 Infomercials, 38.3 Infomercials, 38.4 Infomercials	stationindex	2023-05-17 12:50:01.701573
WLVT		PA	 Allentown	 Lehigh Valley Public Telecommunications Corporation	http://www.wlvt.org/	 Digital Educational Full-Power - 52 kW		stationindex	2023-05-17 12:50:01.701573
WMCN		NJ	 Atlantic City	 Lenfest Broadcasting		 Digital Full-Power - 200 kW		stationindex	2023-05-17 12:50:01.701573
WGTW		NJ	 Burlington	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 160 kW	 48.1 WGTW/TBN, 48.2 Church Channel, 48.3 JCTV, 48.4 Enlace USA, 48.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
WTVE		PA	 Reading	 WRNN License Company		 Digital Full-Power - 126 kW		stationindex	2023-05-17 12:50:01.701573
WNJT	" ""NJTV"""	NJ	 Trenton	 New Jersey Public Broadcasting Authority	http://www.njtvonline.org/	 Digital Educational Full-Power - 59.4 kW	 52.1 NJTV	stationindex	2023-05-17 12:50:01.701573
WPSG	" ""The CW Philly"""	PA	 Philadelphia	 ViacomCBS	https://cwphilly.cbslocal.com/	 Digital Full-Power - 250 kW		stationindex	2023-05-17 12:50:01.701573
WBPH		PA	 Bethlehem	 Sonshine Family Television	http://www.wbph.org/	 Digital Full-Power - 3.2 kW		stationindex	2023-05-17 12:50:01.701573
WPPX		DE	 Wilmington	 Ion Media Networks		 Digital Full-Power - 200 kW	 61.1 Ion, 61.2 Qubo, 61.3 Ion Life, 61.4 Ion Shop, 61.5 QVC, 61.6 HSN	stationindex	2023-05-17 12:50:01.701573
WWSI	" ""Telemundo Philadelphia"""	NJ	 Atlantic City	 NBCUniversal	http://www.telemundo62.com	 Digital Full-Power - 130 kW		stationindex	2023-05-17 12:50:01.701573
WUVP		NJ	 Vineland	 Univision Communications		 Digital Full-Power - 335 kW		stationindex	2023-05-17 12:50:01.701573
WFMZ		PA	 Allentown	 Maranatha Broadcasting Company	http://www.wfmz.com/	 Digital Full-Power - 400 kW		stationindex	2023-05-17 12:50:01.701573
KDTN		TX	 Denton	 Daystar Television Network		 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KHPK-LP		TX	 De Soto	 Mako Communications		 Digital Low-Power - 0.3 kW	 3.1 KHPK, 3.2 AMG TV, 3.3 White Springs Television, 3.4 America One	stationindex	2023-05-17 12:50:01.701573
KDFW	" ""FOX 4"""	TX	 Dallas	 Fox Television Stations	http://www.fox4news.com/	 Digital Full-Power - 857 kW		stationindex	2023-05-17 12:50:01.701573
KXAS	" ""NBC 5"""	TX	 Fort Worth	 NBC Universal	http://www.nbcdfw.com/	 Digital Full-Power - 891 kW	 5.1 KXAS/NBC, 5.2 Cozi TV	stationindex	2023-05-17 12:50:01.701573
WFAA		TX	 Dallas	 Tegna Media	http://www.wfaa.com/	 Digital Full-Power - 45 kW		stationindex	2023-05-17 12:50:01.701573
KTVT	" ""CBS 11"""	TX	 Fort Worth	 ViacomCBS	https://dfw.cbslocal.com/	 Digital Full-Power - 1000 kW	 11.1 KTVT/CBS, 11.2 Start TV, 11.3 Dabl	stationindex	2023-05-17 12:50:01.701573
KERA		TX	 Dallas	 North Texas Public Broadcasting	http://www.kera.org/	 Digital Educational Full-Power - 475 kW		stationindex	2023-05-17 12:50:01.701573
KTXA	" ""Texas 21"""	TX	 Fort Worth	 ViacomCBS	https://dfw.cbslocal.com/	 Digital Full-Power - 1000 kW	 21.1 Independent, 21.2 MeTV, 21.3 This TV, 21.4 Circle, 21.5 HSN	stationindex	2023-05-17 12:50:01.701573
KUVN		TX	 Garland	 Univision Communications		 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KODF-LP		TX	 Britton	 Mako Communications		 Low-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
KDFI	" ""Fox 4 More"""	TX	 Dallas	 Fox Television Stations	http://www.fox4news.com/kdfi-my27	 Digital Full-Power - 1000 kW	 27.1 MyNetworkTV, 27.2 Movies!, 27.3 Buzzr, 27.4 Heroes & Icons, 27.5 Light TV	stationindex	2023-05-17 12:50:01.701573
KMPX	" ""Estrella TV KMPX 29"""	TX	 Decatur	 Liberman Broadcasting		 Digital Full-Power - 1000 kW	 29.1 KMPX/Estrella TV	stationindex	2023-05-17 12:50:01.701573
KDAF	" ""CW 33"""	TX	 Dallas	 Nexstar Media Group	https://cw33.com/	 Digital Full-Power - 780 kW	 33.1 KDAF/CW, 33.2 LATV	stationindex	2023-05-17 12:50:01.701573
KJJM-LP		TX	 Dallas & Mesquite	 Mako Communications		 Digital Low-Power	 34.1 KJJM, 34.2 Spanish Programming, 34.3 (Blank), 34.4 (Blank)	stationindex	2023-05-17 12:50:01.701573
KVFW-LD		TX	 Fort Worth	 Gerald Benavides		 Low-Power - 15 kW		stationindex	2023-05-17 12:50:01.701573
KXTX	" ""Telemundo 39 Dallas"""	TX	 Dallas	 NBC Universal	http://www.telemundodallas.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KTAQ		TX	 Greenville	 Simons Broadcasting		 Digital Full-Power - 600 kW	 47.1 KTAQ, 47.2 Universal Access Network, 47.3 Mexicanal	stationindex	2023-05-17 12:50:01.701573
KSTR	" ""Unimas 49"""	TX	 Irving	 Univision Communications		 Digital Full-Power - 225 kW	 49.1 KSTR/Unimas, 49.2 GetTV, 49.3 Grit TV	stationindex	2023-05-17 12:50:01.701573
KFWD	" ""Sonlife Broadcasting Network"""	TX	 Fort Worth	 NRJ Holdings		 Digital Full-Power - 55 kW	 52.1 KFWD/Sonlife Broadcasting Network, 52.2 Viene (Spanish religious), 52.3 QVC Plus, 52.4 Evine (Shopping), 52.5 HSN Home Shopping Network	stationindex	2023-05-17 12:50:01.701573
KAZD		TX	 Lake Dallas	 Northstar Media		 Digital Full-Power - 1000 kW	 55.1 KAZD/Azteca America, 55.2 Infomercials, 55.3 BizTV, 55.4 LATV	stationindex	2023-05-17 12:50:01.701573
KDTX		TX	 Dallas	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 1000 kW	 58.1 KDTX/TBN, 58.2 Church Channel, 58.3 JCTV, 58.4 Enlace USA, 58.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
KPXD		TX	 Arlington	 Ion Media Networks		 Digital Full-Power - 1000 kW	 68.1 Ion, 68.2 Qubo, 68.3 Ion Life, 68.4 Ion Shop, 68.5 QVC, 68.6 HSN	stationindex	2023-05-17 12:50:01.701573
KAXT-CD		CA	 Santa Clara-San Jose	 OTA Broadcasting		 Digital Class-A Low-Power - 15 kW	 1.1 WeatherNation TV, 1.2 Tele Romantica, 1.3 Diya TV, 1.4 Bounce TV, 1.5 Que Huong TV, 1.6 NetV, 1.7 EMTV, 1.8 PNOI TV, 1.9 TVHS, 1.10 Tiempos Finales, 1.11 Jewelry TV, 1.12 TheCoolTV	stationindex	2023-05-17 12:50:01.701573
KTVU	" ""KTVU Fox 2"""	CA	 Oakland	 Fox Television Stations	http://www.ktvu.com/	 Digital Full-Power - 1000 kW	 2.1 KTVU/FOX, 2.2 LATV	stationindex	2023-05-17 12:50:01.701573
