station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WXXI		NY	 Rochester	 WXXI Public Broadcasting Council	http://www.wxxi.org/	 Digital Educational Full-Power - 1230 kW		stationindex	2023-05-17 12:50:01.701573
WUHF	" ""FOX 31"""	NY	 Rochester	 Sinclair Broadcast Group	http://www.foxrochester.com/	 Digital Full-Power - 320 kW		stationindex	2023-05-17 12:50:01.701573
WBGT-LP	" ""My 18"""	NY	 Rochester		http://www.wbgttv.com/	 Class-A - 10 kW		stationindex	2023-05-17 12:50:01.701573
WSTM	" ""NBC 3"""	NY	 Syracuse	 Barrington Broadcasting	http://www.wstm.com/	 Digital Full-Power - 41.9 kW		stationindex	2023-05-17 12:50:01.701573
WTVH		NY	 Syracuse	 Granite Broadcasting	http://www.wtvh.com/	 Digital Full-Power - 83.2 kW		stationindex	2023-05-17 12:50:01.701573
WSYR	" ""News Channel 9"""	NY	 Syracuse	 Newport Television	http://www.wsyr.com/	 Digital Full-Power - 79.4 kW		stationindex	2023-05-17 12:50:01.701573
WCNY		NY	 Syracuse	 Public Broadcasting Council of Central New York	http://www.wcny.org/	 Digital Educational Full-Power - 1875 kW	 24.1 WCNY/PBS SD, 24.2 Thinkbright/Create, 24.3 Cinema 24, 24.4 WCNY/PBS HD	stationindex	2023-05-17 12:50:01.701573
WNYS	" ""My 43"""	NY	 Syracuse	 RKM Media	http://www.my43.tv/	 Digital Full-Power - 776 kW		stationindex	2023-05-17 12:50:01.701573
WNYI		NY	 Ithaca	 Daystar Television Network		 Digital Full-Power - 60 kW		stationindex	2023-05-17 12:50:01.701573
WSPX		NY	 Syracuse	 Ion Media Networks		 Digital Full-Power - 1000 kW	 56.1 Ion, 56.2 Qubo, 56.3 Ion Life, 56.4 Ion Shop, 56.5 QVC, 56.6 HSN	stationindex	2023-05-17 12:50:01.701573
WSYT	" ""FOX 68"""	NY	 Syracuse	 Sinclair Broadcast Group	http://www.wsyt68.com/	 Digital Full-Power - 621 kW		stationindex	2023-05-17 12:50:01.701573
WTZT-CD		AL	 Athens	 Jamie Cooper Television		 Digital Class-A - 1.11 kW	 11.1 RTV, 11.2 TNN, 11.3 PBJ, 11.4 Blank	stationindex	2023-05-17 12:50:01.701573
WHDF	" ""The Valley's CW"""	AL	 Florence	 Lockwood Broadcast Group	http://www.thevalleyscw.tv/	 Digital Full-Power - 2510 kW		stationindex	2023-05-17 12:50:01.701573
WHNT	" ""WHNT News 19"""	AL	 Huntsville	 Local TV, LLC	http://www.whnt.com/	 Digital Full-Power - 250 kW	 19.1 WHNT/CBS	stationindex	2023-05-17 12:50:01.701573
WHIQ	" ""APT"""	AL	 Huntsville	 Alabama Public Television	http://www.aptv.org/	 Digital Educational Full-Power - 1230 kW		stationindex	2023-05-17 12:50:01.701573
WAAY		AL	 Huntsville	 Allen Media Broadcasting	https://www.waaytv.com/	 Digital Full-Power - 310 kW	 31.1 ABC, 31.2 Ion Television, 31.3 Dabl, 31.4 QVC	stationindex	2023-05-17 12:50:01.701573
WFIQ	" ""APT"""	AL	 Florence	 Alabama Public Television	http://www.aptv.org/	 Digital Educational Full-Power - 851 kW		stationindex	2023-05-17 12:50:01.701573
WAFF		AL	 Huntsville	 Raycom	http://www.waff.com/	 Digital Full-Power - 1170 kW	 48.1 WAFF/NBC/48.2 This TV	stationindex	2023-05-17 12:50:01.701573
WZDX	" ""FOX 54"""	AL	 Huntsville	 Huntsville Television Acquisition	http://www.fox54.com/	 Digital Full-Power - 2240 kW		stationindex	2023-05-17 12:50:01.701573
WCIA		IL	 Champaign	 Nexstar Media Group	https://www.wcia.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WILL		IL	 Urbana	 University of Illinois	http://www.will.uiuc.edu/tv/	 Digital Educational Full-Power - 30 kW		stationindex	2023-05-17 12:50:01.701573
WSEC		IL	 Jacksonville	 West Central Illinois Educational Telecommunications	http://www.wsec.org/	 Digital Educational Full-Power - 34 kW		stationindex	2023-05-17 12:50:01.701573
WICD	" ""News Channel 15/WICS"""	IL	 Champaign	 Sinclair Broadcast Group	http://www.wics.com/	 Digital Full-Power - 550 kW		stationindex	2023-05-17 12:50:01.701573
WAND	" ""NBC 17"""	IL	 Decatur	 Block Communications	http://www.wandtv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WICS	" ""News Channel 20"""	IL	 Springfield	 Sinclair Broadcast Group	http://www.wics.com/	 Digital Full-Power - 1510 kW		stationindex	2023-05-17 12:50:01.701573
