location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Lincoln - Hastings - Kearney, NE	KHGI	ABC, FOX	https://www.nebraska.tv/Newsletter	Lincoln - Hastings - Kearney	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Lincoln - Hastings - Kearney, NE	KHGI-CD	ABC		Lincoln - Hastings - Kearney	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Lincoln - Hastings - Kearney, NE	KWNB	ABC, FOX		Lincoln - Hastings - Kearney	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Lincoln - Hastings - Kearney, NE	KWNB-LD	ABC, FOX		Lincoln - Hastings - Kearney	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Little Rock - Pine Bluff, AR	KATV	ABC	https://www.katv.comNewsletter	Little Rock - Pine Bluff	AR	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Macon, GA	WGXA	FOX, ABC	https://www.wgxa.tvNewsletter	Macon	GA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Madison, WI	WMSN	FOX	https://www.fox47.com	Madison	WI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Medford - Klamath Falls, OR	KTVL	CBS, CW	https://www.ktvl.comhttps://www.southernoregoncw.comNewsletter	Medford - Klamath Falls	OR	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Milwaukee, WI	WVTV	CW, MyTV	http://cw18milwaukee.com/https://my24milwaukee.com/	Milwaukee	WI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Minneapolis, MN	WUCW	CW	https://thecwtc.com/	Minneapolis	MN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Missoula	KCFW	NBC	https://nbcmontana.com/Newsletter	Missoula		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Missoula	KECI	NBC	https://nbcmontana.com/Newsletter	Missoula		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Mobile, AL / Pensacola, FL	WEAR	ABC	https://www.weartv.comNewsletter	Mobile	AL / Pensacola, FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Mobile, AL / Pensacola, FL	WFGX	MyTV	https://www.wfgxtv.com	Mobile	AL / Pensacola, FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
