title	city	state	website	broadcaster	source	collection_date
WGEM	Quincy	IL	www.wgem.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOLO	Reno	NV	www.kolotv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WDTV	Clarksburg	WV	www.wdtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTAP	Parkersburg	WV	www.wtap.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WXIX	Cincinnati	OH	www.fox19.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KJCT	Grand Junction-Montrose	CO	www.kjct8.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KKCO	Grand Junction-Montrose	CO	www.kkco11news.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WIBW	Topeka	KS	www.wibw.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KCTV	Fairway	KS	www.kctv5.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
Gray DC Bureau	Washington	DC	www.graydc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KKTV	Colorado Springs	CO	www.kktv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KMOV	St. Louis	MO	www.kmov.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WHSV	Harrisonburg	VA	www.whsv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WSAZ	Huntington	WV	www.wsaz.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WAVE	Louisville	KY	www.wave3.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WKYT	Lexington	KY	www.wkyt.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WVIR	Charlottesville	VA	www.nbc29.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WFIE	Evansville	IN	www.14news.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
